"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"860Z200US75203","ZCTA5 75203","43376","5380",
"860Z200US75204","ZCTA5 75204","88142","6940",
"860Z200US75205","ZCTA5 75205","180698","15747",
"860Z200US75206","ZCTA5 75206","84784","4575",
"860Z200US75207","ZCTA5 75207","88655","14458",
"860Z200US75208","ZCTA5 75208","75699","5420",
"860Z200US75209","ZCTA5 75209","116477","13307",
"860Z200US75210","ZCTA5 75210","26822","6175",
"860Z200US75211","ZCTA5 75211","53614","3731",
"860Z200US75212","ZCTA5 75212","47089","4762",
"860Z200US75214","ZCTA5 75214","115304","12673",
"860Z200US75215","ZCTA5 75215","39486","4807",
"860Z200US75216","ZCTA5 75216","33889","2420",
"860Z200US75217","ZCTA5 75217","49841","2948",
"860Z200US75218","ZCTA5 75218","104026","9351",
"860Z200US75219","ZCTA5 75219","86826","12838",
"860Z200US75220","ZCTA5 75220","56849","4573",
"860Z200US75223","ZCTA5 75223","66875","6101",
"860Z200US75224","ZCTA5 75224","50061","3644",
"860Z200US75225","ZCTA5 75225","180181","16090",
"860Z200US75226","ZCTA5 75226","67612","5249",
"860Z200US75227","ZCTA5 75227","54743","3784",
"860Z200US75228","ZCTA5 75228","55848","2249",
"860Z200US75229","ZCTA5 75229","117083","11038",
"860Z200US75230","ZCTA5 75230","109589","11166",
"860Z200US75231","ZCTA5 75231","50603","1929",
"860Z200US75232","ZCTA5 75232","52739","3937",
"860Z200US75233","ZCTA5 75233","61750","12590",
"860Z200US75234","ZCTA5 75234","85105","6282",
"860Z200US75235","ZCTA5 75235","57744","5410",
"860Z200US75236","ZCTA5 75236","45739","3354",
"860Z200US75237","ZCTA5 75237","38552","4730",
"860Z200US75238","ZCTA5 75238","71352","4539",
"860Z200US75240","ZCTA5 75240","51607","5684",
"860Z200US75241","ZCTA5 75241","45356","6752",
"860Z200US75243","ZCTA5 75243","47319","3752",
"860Z200US75244","ZCTA5 75244","109440","10765",
"860Z200US75246","ZCTA5 75246","42429","15353",
"860Z200US75247","ZCTA5 75247","18750","6070",
"860Z200US75248","ZCTA5 75248","98584","7082",
"860Z200US75249","ZCTA5 75249","79162","15886",
"860Z200US75251","ZCTA5 75251","85294","8654",
"860Z200US75252","ZCTA5 75252","77147","6222",
"860Z200US75253","ZCTA5 75253","51642","8569",
"860Z200US75254","ZCTA5 75254","70901","6464",
"860Z200US75261","ZCTA5 75261","-","**",
"860Z200US75270","ZCTA5 75270","-","**",
"860Z200US75287","ZCTA5 75287","60256","4347",
"860Z200US75390","ZCTA5 75390","-","**",
"860Z200US75401","ZCTA5 75401","51882","5071",
"860Z200US75402","ZCTA5 75402","78277","2599",
"860Z200US75407","ZCTA5 75407","87839","9491",
"860Z200US75409","ZCTA5 75409","89444","17971",
"860Z200US75410","ZCTA5 75410","77778","20575",
"860Z200US75411","ZCTA5 75411","47857","40622",
"860Z200US75412","ZCTA5 75412","62000","18538",
"860Z200US75413","ZCTA5 75413","-","**",
"860Z200US75414","ZCTA5 75414","78776","8490",
"860Z200US75415","ZCTA5 75415","115446","89207",
"860Z200US75416","ZCTA5 75416","70000","25493",
"860Z200US75417","ZCTA5 75417","53370","8106",
"860Z200US75418","ZCTA5 75418","58790","4916",
"860Z200US75420","ZCTA5 75420","59826","16677",
"860Z200US75421","ZCTA5 75421","57688","36087",
"860Z200US75422","ZCTA5 75422","65093","21263",
"860Z200US75423","ZCTA5 75423","55288","20911",
"860Z200US75424","ZCTA5 75424","85364","13847",
"860Z200US75426","ZCTA5 75426","39203","7079",
"860Z200US75428","ZCTA5 75428","51205","10776",
"860Z200US75429","ZCTA5 75429","-","**",
"860Z200US75431","ZCTA5 75431","42201","18111",
"860Z200US75432","ZCTA5 75432","64286","16481",
"860Z200US75433","ZCTA5 75433","80116","7246",
"860Z200US75434","ZCTA5 75434","-","**",
"860Z200US75435","ZCTA5 75435","37321","17221",
"860Z200US75436","ZCTA5 75436","75179","26646",
"860Z200US75437","ZCTA5 75437","83611","26480",
"860Z200US75438","ZCTA5 75438","92083","24633",
"860Z200US75439","ZCTA5 75439","61250","21647",
"860Z200US75440","ZCTA5 75440","61127","4645",
